seed_incident_id,split,year
1217924240229,train,2008
1217924314443,train,2008
1218521128326,train,2008
1218521134337,train,2008
1218521322780,train,2008
1218522237935,train,2008
1218522238611,train,2008
1218523356387,train,2008
1218523636433,train,2008
1218523681568,train,2008
1218523682265,train,2008
1218523683188,train,2008
1220262414994,train,2008
1220262769817,train,2008
1220526783767,train,2008
1220526788507,train,2008
1220526884061,train,2008
1220527318161,train,2008
1220527329024,train,2008
1220527514213,train,2008
1220528639435,train,2008
1220529167463,train,2008
1221824631363,train,2008
1222160706367,train,2008
1222160906639,train,2008
1222669992110,train,2008
1223038406360,train,2008
1223038438054,train,2008
1223038464675,train,2008
1223288039466,train,2008
1223288300184,train,2008
1223288304835,train,2008
1223605440838,train,2008
1224057933227,train,2008
1224057934692,train,2008
1224058295007,train,2008
1225373360458,train,2008
1225373517506,train,2008
1226326635755,train,2008
1227165178880,train,2008
1227165431165,train,2008
1227429034930,train,2008
1227429466485,train,2008
1227429471080,train,2008
1227773067674,train,2008
1227856630396,train,2008
1227856659036,train,2008
1227856660530,train,2008
1227856663280,train,2008
1228178713742,train,2008
1228179040068,train,2008
1228179342590,train,2008
1228179670869,train,2008
1228179985804,train,2008
1228180006005,train,2008
1228180011252,train,2008
1228180237912,train,2008
1228831549838,train,2008
1228832089347,train,2008
1229075289117,train,2008
1229075306608,train,2008
1229075307756,train,2008
1229075659269,train,2008
1229076692894,train,2008
1229076969342,train,2008
1229077213159,train,2008
1229077240791,train,2008
1229077353701,train,2008
1229077546381,train,2008
1229077561806,train,2008
1229077564540,train,2008
1229077583190,train,2008
1229078153991,train,2008
1229078299389,train,2008
1230026180655,train,2008
1230026252443,train,2008
1230026294107,train,2008
1230026295742,train,2008
1230026297907,train,2008
1230026298609,train,2008
1230026330087,train,2008
1230026544105,train,2008
1230026546090,train,2008
1230026558655,train,2008
1230026590184,train,2008
1230026892775,train,2008
1230027408809,train,2009
1230027441166,train,2009
1230979843863,train,2009
1230980011239,train,2009
